600	7	1	21
601	6	1	21
602	5	1	21
603	4	1	21
604	3	1	21
605	4	2	22
606	3	1	21
607	2	1	21
608	1	1	21
609	12	1	21
610	11	1	21
611	10	1	21
612	9	1	21
613	8	1	21
614	7	1	21
615	6	1	21
616	5	1	21
617	6	2	22
618	5	1	21
619	4	1	21
620	3	1	21
621	2	1	21
622	1	1	21
623	12	1	21
624	11	1	21
625	10	1	21
626	9	1	21
627	8	1	21
628	7	1	21
629	6	1	21
630	5	1	21
631	4	1	21
632	3	1	21
633	2	1	21
634	1	1	21
635	12	1	21
636	11	1	21
637	10	1	21
638	9	1	21
639	8	1	21
640	9	2	22
641	8	1	21
642	7	1	21
643	6	1	21
644	5	1	21
645	4	1	21
646	3	1	21
647	2	1	21
648	1	1	21
649	12	1	21
650	11	1	21
651	10	1	21
652	9	1	21
653	8	1	21
654	7	1	21
655	6	1	21
656	7	2	22
657	6	1	21
658	5	1	21
659	4	1	21
660	3	1	21
661	2	1	21
662	1	1	21
663	12	1	21
664	11	1	21
665	10	1	21
666	11	2	22
667	10	1	21
668	9	1	21
669	8	1	21
670	7	1	21
671	6	1	21
672	7	2	22
673	6	1	21
674	5	1	21
675	4	1	21
676	3	1	21
677	2	1	21
678	1	1	21
679	12	1	21
680	11	1	21
681	10	1	21
682	9	1	21
683	8	1	21
684	9	2	22
685	8	1	21
686	7	1	21
687	6	1	21
688	5	1	21
689	6	2	22
690	5	1	21
691	4	1	21
692	3	1	21
693	2	1	21
694	1	1	21
695	12	1	21
696	11	1	21
697	10	1	21
698	9	1	21
699	8	1	21
700	7	1	21
701	6	1	21
702	5	1	21
703	4	1	21
704	3	1	21
705	2	1	21
706	1	1	21
707	12	1	21
708	11	1	21
709	10	1	21
710	9	1	21
711	8	1	21
712	7	1	21
713	6	1	21
714	5	1	21
715	6	2	22
716	5	1	21
717	4	1	21
718	3	1	21
719	2	1	21
720	1	1	21
721	12	1	21
722	11	1	21
723	10	1	21
724	9	1	21
725	8	1	21
726	7	1	21
727	6	1	21
728	5	1	21
729	4	1	21
730	3	1	21
731	2	1	21
732	1	1	21
733	12	1	21
734	11	1	21
735	10	1	21
736	9	1	21
737	8	1	21
738	7	1	21
739	6	1	21
740	5	1	21
741	4	1	21
742	3	1	21
743	4	2	22
744	3	1	21
745	2	1	21
746	1	1	21
747	2	2	22
748	1	1	21
749	12	1	21
750	11	1	21
751	12	2	22
752	11	1	21
753	10	1	21
754	9	1	21
755	8	1	21
756	7	1	21
757	6	1	21
758	5	1	21
759	4	1	21
760	3	1	21
761	4	2	22
762	3	1	21
763	2	1	21
764	1	1	21
765	2	2	22
766	1	1	21
767	12	1	21
768	11	1	21
769	10	1	21
770	9	1	21
771	8	1	21
772	7	1	21
773	6	1	21
774	5	1	21
775	4	1	21
776	5	2	22
777	4	1	21
778	3	1	21
779	2	1	21
780	1	1	21
781	12	1	21
782	11	1	21
783	10	1	21
784	9	1	21
785	8	1	21
786	7	1	21
787	8	2	22
788	7	1	21
789	6	1	21
790	5	1	21
791	4	1	21
792	3	1	21
793	2	1	21
794	1	1	21
795	12	1	21
796	11	1	21
797	10	1	21
798	9	1	21
799	10	2	22
800	9	1	21
801	8	1	21
802	7	1	21
803	6	1	21
804	5	1	21
805	4	1	21
806	3	1	21
807	2	1	21
808	3	2	22
809	2	1	21
810	1	1	21
811	12	1	21
812	11	1	21
813	10	1	21
814	9	1	21
815	8	1	21
816	7	1	21
817	6	1	21
818	5	1	21
